"","Country","Year","gini","Eu_2004","Eu_2014","Educbasic","workagepop","R&D","FDIinflows"
"128","EST","2007",0.989651604256184,"1","1",32.588,908765,"1.05874001979828",13.5111961567385
"129","EST","2006",0.989835339640036,"1","1",32.557,915462,"1.11276996135712",10.3282677580747
"130","EST","2005",0.990071168719952,"1","1",29.602,922372,"0.917050004005432",21.6743735548716
"131","EST","2004",0.990200262582498,"1","1",32.479,926719,"0.845839977264404",8.94863599334533
"132","EST","2003",0.989795185921233,"1","1",30.477,930328,"0.764649987220764",10.5149208720017
"133","EST","2002",0.990334233075632,"1","1",28.134,934061,"0.712029993534088",4.59059944726891
"134","EST","2001",0.99043867743691,"1","1",30.145,937945,"0.698390007019043",9.47918147111243
"135","EST","2000",0.990713954977643,"1","1",29.814,941321,"0.600000023841858",7.31923766598522
"136","FIN","2014",0.992346171885974,"0","1",29.03,3491693,"3.14751005172729",6.37721739347512
"137","FIN","2013",0.992375190019129,"0","1",29.547,3508386,"3.27136993408203",-1.81391357891476
"138","FIN","2012",0.992311582956417,"0","1",30.426,3524876,"3.3983199596405",1.90912917463228
"139","FIN","2011",0.992209494041076,"0","1",31.267,3539610,"3.61806011199951",-2.179936953365
"140","FIN","2010",0.992229551549517,"0","1",31.406,3549606,"3.70531988143921",4.89968635862389
"141","FIN","2009",0.991717518720037,"0","1",32.195,3547864,"3.73401999473572",-3.48162112393045
"142","FIN","2008",0.991815700422795,"0","1",33.935,3536864,"3.53696990013123",6.79228430535503
"143","FIN","2007",0.992060058039409,"0","1",34.198,3518847,"3.33703994750977",8.57302514110282
"144","FIN","2006",0.992278501626593,"0","1",34.506,3507266,"3.33214998245239",2.13678262162868
"145","FIN","2005",0.992262193018552,"0","1",42.351,3499298,"3.32369995117188",5.30433190858078
"146","FIN","2004",0.992673452840982,"0","1",45.324,3488772,"3.30907011032104",3.43179887742407
"147","FIN","2003",0.992592699298281,"0","1",46.797,3483581,"3.29821991920471",3.47526038641381
"148","FIN","2002",0.992660252788057,"0","1",48.057,3478324,"3.25307989120483",5.76518399300031
"149","FIN","2001",0.993056311923198,"0","1",47.694,3471758,"3.19372010231018",2.48948733398858
"150","FIN","2000",0.993470813479442,"0","1",53.446,3464352,"3.24137997627258",10.714265643958
"151","FRA","2014",0.990176763554141,"0","1",31.764,41834284,"2.27591991424561",0.203254562718035
"152","FRA","2013",0.990084334825813,"0","1",33.309,41924226,"2.23703002929688",1.12342342416042
"153","FRA","2012",0.990052347530142,"0","1",34.435,42005760,"2.22707009315491",1.22759662106149
"154","FRA","2011",0.990122944404866,"0","1",34.687,42095743,"2.19161009788513",1.54287540837324
"155","FRA","2010",0.990300390897252,"0","1",34.942,42084351,"2.17857003211975",1.47019572697397
"156","FRA","2009",0.989836307141259,"0","1",34.919,41982175,"2.21206998825073",0.682106491646852
"157","FRA","2008",0.989748593160902,"0","1",34.817,41868249,"2.06117010116577",2.32049138897663
"158","FRA","2007",0.98974086254301,"0","1",35.638,41694810,"2.0245099067688",3.14883387347586
"159","FRA","2006",0.989701035798015,"0","1",36.084,41435583,"2.05094003677368",3.40253485643684
"160","FRA","2005",0.989758536369906,"0","1",36.223,41120722,"2.05151009559631",3.87524735138074
"161","FRA","2004",0.989662778928402,"0","1",44,40808634,"2.09460997581482",1.67993859132812
"162","FRA","2003",0.98980776732234,"0","1",44.07,40511430,"2.11994004249573",2.29600283284986
"163","FRA","2002",0.99000068667669,"0","1",43.055,40220123,"2.17448997497559",3.43347287145825
"164","FRA","2001",0.990016432343281,"0","1",43.086,39940381,"2.13804006576538",3.63966078420369
"165","FRA","2000",0.989980752511805,"0","1",43.677,39677855,"2.09346008300781",3.03074697177105
"166","GBR","2014",0.988750827907496,"0","1",56.954,41827620,"2.26449990272522",1.92156774768545
"167","GBR","2013",0.988710313369873,"0","1",56.638,41710813,"1.62011003494263",1.95605174026818
"168","GBR","2012",0.988673668108641,"0","1",56.617,41663167,"1.57631003856659",1.72697599448212
"169","GBR","2011",0.988792235743994,"0","1",59.301,41607173,"1.6452100276947",1.01403975166563
"170","GBR","2010",0.98881074333115,"0","1",56.176,41444114,"1.63496994972229",2.6849735901
"171","GBR","2009",0.98853105417477,"0","1",57.607,41224543,"1.66659998893738",0.602903980683404
"172","GBR","2008",0.989042363084383,"0","1",57.807,40985517,"1.6078599691391",8.65204820165557
"173","GBR","2007",0.988929910990989,"0","1",67.614,40682733,"1.61708998680115",6.77930004470465
"174","GBR","2006",0.989029150411263,"0","1",67.672,40315048,"1.57539999485016",7.51858312899467
"175","GBR","2005",0.988796374427303,"0","1",67.398,39917314,"1.54904997348785",9.93454640049509
"176","GBR","2004",0.988998597591058,"0","1",67.364,39543896,"1.52997994422913",3.59523929838674
"177","GBR","2003",0.989077347711646,"0","1",67.833,39224731,"1.57962000370026",1.7528640877232
"178","GBR","2002",0.989355368539358,"0","1",67.841,38933315,"1.61372995376587",5.02654863681235
"179","GBR","2001",0.989486157190795,"0","1",68.317,38661576,"1.59658002853394",3.3998059098334
"180","GBR","2000",0.989429826534514,"0","1",69.003,38411614,"1.60906004905701",9.85451206947804
"181","GRC","2014",0.991773524043304,"0","1",33.432,7065107,"0.839980006217957",1.14557064148088
"182","GRC","2013",0.991589029643988,"0","1",33.944,7140124,"0.814779996871948",1.23280746804565
"183","GRC","2012",0.991704281946304,"0","1",34.866,7224390,"0.710049986839294",0.686731020108175
"184","GRC","2011",0.991515854473763,"0","1",36.256,7304091,"0.684260010719299",0.385938886644913
"185","GRC","2010",0.991365128597708,"0","1",38.081,7360393,"0.603470027446747",0.179361228004649
"186","GRC","2009",0.991256747771852,"0","1",38.828,7391000,"0.625569999217987",0.834961020727542
"187","GRC","2008",0.991465756696691,"0","1",38.256,7402118,"0.661830008029938",1.61093214151846
"188","GRC","2007",0.991177813984451,"0","1",38.381,7401422,"0.576550006866455",0.613705575128197
"189","GRC","2006",0.99126798119671,"0","1",38.707,7397524,"0.561179995536804",1.97823728049588
"190","GRC","2005",0.991031985418145,"0","1",39.763,7400093,"0.578960001468658",0.277754143805881
"191","GRC","2004",0.9912280943448,"0","1",39.765,7406506,"0.527300000190735",0.891391174178269
"192","GRC","2003",0.991590002423925,"0","1",41.683,7410994,"0.546540021896362",0.695797659170262
"193","GRC","2002",0.991787425904842,"0","1",42.203,7414777,"..",0.0221141414013334
"194","GRC","2001",0.991705107992023,"0","1",42.664,7407059,"0.559480011463165",0.00146818055136564
"195","GRC","2000",0.991977880023698,"0","1",43.414,7381435,"..",-0.0062820866311515
